# This file is called   force.dat
# Force-Deflection data for a beam and a bar
# x    y
1         0.12593265145320623
2         0.10112072647743912
3         0.07968126730618065
4         0.07505515178055813
5         0.06948173743627636
6         0.06495946205048804
7         0.06259551463010407
8         0.05558045355379715
9         0.057292872452223906
10         0.050396946177228216
