# This file is called   force.dat
# Force-Deflection data for a beam and a bar
#x         y 
50         0.07760299310042477
100         0.09191378940519485
150         0.0850111862034638
200         0.10442399034194924
250         0.12264025511249521
300         0.12876531006978487
350         0.13535124579020325
400         0.13617251334885055
450         0.1444304279085575
500         0.18681948055460035

