# This file is called   force.dat
# Force-Deflection data for a beam and a bar
# Deflection    Col-Force 
5         0.0
7         0.001995686794956868
9         0.02131475234858919
11         0.02170033327647177
13         0.03083482020743396
15         0.03225632129474023
17         0.041489680666807416
19         0.04947315362800795
21         0.04383808352323614
23         0.0543724303149339
25         0.06811534547507477
